"Buurten";"Naam van de buurt";"Aantal 0 tem 17-jarigen";"Aantal 18 tem 64-jarigen";"Aantal 65-plussers";"Aantal 80 tem 89-jarigen";"Aantal 90+'ers";"Interne vergrijzing";"Bevolkingsdichtheid (inw/ha)";"Bevolkingsdichtheid woongebied"
"F60-";"KIEL - CENTRUM (KIEL)";688;1207;196;48;7;28,1;122;12412
"F61-";"BOOMSE STWG-BEERSCHOT (KIEL)";1471;3064;413;90;20;26,6;237;23722
"F62-";"BEERSCHOT - STADION (KIEL)";611;1311;520;163;73;45,4;105;14343
"F64-";"JAN DE VOSLEI (KIEL)";657;1269;245;48;17;26,5;131;13463
"F65-";"PIUS X (KIEL)";609;1496;293;70;8;26,6;125;12833
"F6MJ";"PETROLEUM - SCHELDEKADEN-Z.";"";"";"";"";"";"";"";""
"F6NJ";"KIELSE POLDER (KIEL)";".";8;".";".";".";"-";".";"."
"G51-";"ST.-LAURENTIUS (ZUIDWIJK)";511;1961;404;105;39;35,6;109;10889
"G522";"FRANSEN PLAATS (ZUIDWIJK)";138;672;260;58;44;39,2;59;7894
"G53-";"HARMONIE (ZUIDWIJK)";603;2347;757;229;93;42,5;122;13655
"G54-";"KAREL OOMSTRAAT";320;1949;598;146;70;36,1;88;9998
"G552";"C. TEICHMANN PLAATS (ZUIDWIJK)";74;325;77;16;6;28,6;271;27146
"G59-";"ALBERTPARK (OOSTWIJK)";23;81;13;".";".";38,5;14;14484
"G72-";"WILRIJKSPL.-W. (WILRIJKSPLEIN)";178;668;163;33;10;26,4;136;13619
"G73-";"BLOKKEN-KRUISHOFSTR. (WILR.PL)";120;439;113;24;9;29,2;139;16000
"G74-";"DEN BRANDT (WILRIJKSPLEIN)";101;400;139;33;8;29,5;17;1699
"G75-";"OOSTERVELD (WILRIJKSPEIN)";29;83;22;9;".";50,0;19;2901
"G780";"NACHTEGALENPARK(WILRIJKSPLEIN)";10;52;126;59;23;65,1;1;2191
"H40-";"ST.-AMANDUS (NOORDWIJK)";989;2736;259;31;".";13,5;274;27402
"H41-";"STUIVENBERG-WEST";1044;2975;399;63;14;19,3;233;23503
"H43-";"ST.-JANSPLEIN-TRAPSTR.(N.WIJK)";733;3128;369;67;16;22,5;198;19829
"H44-";"STUIVENBERGPLEIN (NOORDWIJK)";838;2007;260;45;8;20,4;224;25887
"H4MJ";"STATION STUIVENBERG";"";"";"";"";"";"";"";""
"H83-";"SLACHTHUISWIJK (DAM-SCHIJNPOORT)";983;2539;286;43;10;18,5;166;17560
"H84-";"DAM (DAM - SCHIJNPOORT)";79;502;38;".";".";10,5;100;13526
"H8MJ";"DAM- LOBROEKDOK (SCHIJNPOORT)";".";".";".";".";".";".";".";"."
"J072";"OUDE HAVEN";115;1107;110;20;".";18,2;35;5940
"J80-";"LUCHTBAL-ZUID";998;1770;585;132;41;29,6;63;7396
"J820";"IJZERLAAN (DAM - SCHIJNPOORT)";349;1028;68;5;".";8,8;31;9795
"J83-";"DUBOISSTRAAT (NOORDWIJK)";152;1036;112;19;".";18,8;140;14041
"J84-";"WILLEMDOK (SPAANSE WALLEN)";21;279;124;20;".";16,9;17;1734
"J85-";"T EILANDJE";301;2329;637;188;76;41,4;103;10515
"J873";"HOUTDOK";16;87;6;".";".";0,0;1;"."
"J8AN";"AN-LUCHTBAL-NOORD";1090;1632;305;56;10;21,6;54;8322
"K171";"ALBERTDOK";19;80;20;".";".";20,0;0;"-"
"K172";"MARSHALL-EN INDUSTRIEDOK ESSO";"";"";"";"";"";"";"";""
"K173";"LEOPOLDDOK FORD-FABRIEKEN";".";".";".";".";".";".";".";"-"
"K175";"CHURCHILLDOK-G. M. CONTIN.";"";"";"";"";"";"";"";""
"K1NP";"AN-LUITHAGEN-TRANSCONTINENTAALWEG";"";"";"";"";"";"";"";""
"K1WN";"AN-HAVEN/VORMINGSSTATION";".";".";".";".";".";"-";".";"-"
"K214";"LILLO - FORT";".";25;13;".";".";".";".";"."
"K271";"DISTRICT LILLO TUNNEL-NOORD";"";"";"";"";"";"";"";""
"K272";"DISTRICT LILLO TUNNEL-ZUID";"";"";"";"";"";"";"";""
"K2MN";"DISTRICT LILLO TUNNEL-ZUID";"";"";"";"";"";"";"";""
"L000";"ZANDVLIET-KERN(ZANDVL.-5 DIST)";377;1309;399;83;12;23,8;16;3262
"L011";"STALSHOEK(ZANDVLIET-5 DISTR. )";244;844;275;51;9;21,8;20;2769
"L022";"GROTE RUIGEHEIDE(ZANDVL.-5DIS)";19;94;40;7;".";20,0;3;5487
"L070";"HAVENGEBIED (ZANDVLIET-5 DIS)";"";"";"";"";"";"";"";""
"L090";"NOORDLAANPOLDER-VERSPR. BEW. (ZANDVLIET - 5 DISTRICT)";41;133;46;8;".";21,7;0;8608
"L100";"BERENDRECHT - KERN (BERENDRECHT - 4 DISTRICT)";623;1725;591;143;53;33,2;14;3656
"L111";"STEENHOVENSTRAAT (BERENDRECHT - 4 DISTRICT)";201;614;267;69;9;29,2;10;3199
"L122";"VISWATER(BERENDRECHT - 4 DIST)";460;1123;493;60;5;13,2;14;3256
"L17-";"HAVENGEBIED(BERENDRECHT - 4 D)";"";"";"";"";"";"";"";""
"L18-";"KRAAIENBERG(BERENDRECHT - 4 D)";7;37;27;".";".";".";".";"-"
"M0MA";"SCHELDE - CONTAINERTERMINAL";"";"";"";"";"";"";"";""
"M0PA";"SCHELDE";"";"";"";"";"";"";"";""
"P00-";"EKEREN-CENTRUM";303;983;289;73;12;29,4;63;6420
"P01-";"EKEREN-DORP";526;1402;419;107;61;40,1;75;7510
"P02-";"SCHOONBROEK";329;890;319;42;13;17,2;50;5573
"P03-";"DE GEESTEN";615;1715;529;110;26;25,7;59;6108
"P04-";"HET ZAND";477;1366;695;202;69;39,0;53;5282
"P05-";"LEERHOEKSLAAN";195;456;148;42;6;32,4;36;3782
"P09-";"VELTWIJCK";".";".";".";".";".";".";".";"."
"P100";"MARIABURG";513;1421;429;85;25;25,6;48;5007
"P111";"DE BIST";326;954;274;45;17;22,6;30;3213
"P12-";"DE NOTESCHELP";231;592;201;40;9;24,4;40;4001
"P192";"HOGE BIST";"";"";"";"";"";"";"";""
"P20-";"HOEKAKKER";280;768;310;63;7;22,6;47;5148
"P22-";"PRINSHOEVELAND";207;614;195;40;7;24,1;24;4288
"P23-";"LAGE BIST";455;1231;375;110;27;36,5;60;6344
"P242";"KLAVERVELDEN";40;130;83;24;".";31,3;13;1876
"P2AN";"EK-LAAR";"";"";"";"";"";"";"";""
"P2AP";"EK-LUCASWIJK";301;705;347;105;57;46,7;19;3241
"P392";"VLOEIENDE";"";"";"";"";"";"";"";""
"P500";"LEUGENBERG";321;786;201;36;10;22,9;24;4335
"P589";"DE HOEKX";19;93;46;6;".";15,2;2;2174
"P590";"KROMMESTR.- AKKER - BREDESTR.- VELDEN";13;70;18;".";".";16,7;1;"."
"P6AK";"EK-LEUGENBERG-ZUID";37;111;29;".";".";3,4;21;6266
"P6BK";"EK-SCHOONBROEK - TWEEKRONEN";236;449;160;38;19;35,6;42;5680
